,Li,lamb,Co,Al,u,eta,Date
0,1.0,0.9869657740734172,3877.0,7253.0,0.2672687163932166,0.2637850755606396,2018-01-02
1,2.0,0.012856889519418336,15.0,130.0,-0.3846153846153846,-0.00494495750746859,2018-01-02
2,5.0,0.00017733640716439085,0.0,2.0,-2.0,-0.0003546728143287817,2018-01-02
3,1.0,0.9775888717156105,3806.0,6313.0,0.30144146998257565,0.2946858265285612,2018-01-03
4,2.0,0.018160741885625966,20.0,168.0,-0.38095238095238093,-0.006918377861190844,2018-01-03
5,3.0,0.0024149922720247295,4.0,21.0,-0.7142857142857144,-0.0017249944800176642,2018-01-03
6,4.0,0.0007727975270479134,1.0,7.0,-1.2142857142857144,-0.0009383969971296092,2018-01-03
7,5.0,0.0002897990726429675,0.0,3.0,-2.0,-0.000579598145285935,2018-01-03
8,6.0,0.0006761978361669242,0.0,7.0,-2.5,-0.0016904945904173106,2018-01-03
9,7.0,9.659969088098918e-05,0.0,1.0,-3.0,-0.0002897990726429675,2018-01-03
10,1.0,0.9838185002919343,4477.0,7317.0,0.3059313926472598,0.30098096390645007,2018-01-04
11,2.0,0.014263074484944533,9.0,162.0,-0.4444444444444444,-0.006339144215530904,2018-01-04
12,3.0,0.0013345566769538744,3.0,13.0,-0.6538461538461537,-0.0008725947503159947,2018-01-04
13,4.0,0.0001668195846192343,0.0,2.0,-1.5,-0.00025022937692885145,2018-01-04
14,5.0,0.00025022937692885145,0.0,3.0,-2.0,-0.0005004587538577029,2018-01-04
15,6.0,8.340979230961715e-05,0.0,1.0,-2.5,-0.0002085244807740429,2018-01-04
16,8.0,8.340979230961715e-05,0.0,1.0,-3.5,-0.00029193427308366006,2018-01-04
17,1.0,0.9630232214169502,5061.0,7960.0,0.31790201005025126,0.30614701781351666,2018-01-05
18,2.0,0.03150421535275847,58.0,368.0,-0.34239130434782605,-0.01078676938708578,2018-01-05
19,3.0,0.0039934920869693835,8.0,46.0,-0.7391304347826086,-0.0029517115425425878,2018-01-05
20,4.0,0.0006655820144948972,0.0,9.0,-1.5,-0.0009983730217423459,2018-01-05
21,5.0,0.00029581422866439876,1.0,3.0,-1.166666666666667,-0.00034511660010846533,2018-01-05
22,7.0,0.00014790711433219938,1.0,1.0,0.5,7.395355716609969e-05,2018-01-05
23,8.0,0.00014790711433219938,0.0,2.0,-3.5,-0.0005176749001626978,2018-01-05
24,9.0,7.395355716609969e-05,0.0,1.0,-4.0,-0.00029581422866439876,2018-01-05
