,L_B,C_A,M_A,I_B,DmI_A,Dm_A,Dc_A,L_A,C_B,M_B,I_A,DmI_B,Dm_B,Dc_B
L_B,0.3709400407092827,0.231450954928263,0.5054978614964163,0.8855409948292429,1.6766067638384248,0.7094121831208352,0.24877386247992755,0.009879714769055607,0.10652896730076217,0.23451319266859436,0.034923940034227205,0.036424573493957384,0.025050034651937975,0.053119783319649894
C_A,0.28455493918226094,0.35398236238469244,0.28893157907216555,0.5215753791998324,1.2078338299573999,0.378156448798539,0.1758946006725767,0.15596960863592077,0.006611204189833885,0.08218439733110561,0.03162240917599725,0.5365625410942803,0.3108602264511536,0.0336619185680525
M_A,0.00794893609065578,0.006639189249109906,0.37126470629474884,0.00027429834749324536,0.02761173303971845,0.0013350331822132183,9.45980147829862e-07,0.008381498210410523,0.0007644354251322484,0.02566687204813155,0.06352793238571136,0.4507409681397708,0.05901787105328248,9.86635795205826e-06
I_B,0.005721471530772403,0.005453994789461981,0.0280150228484277,2.2329908382161963e-05,6.155756899297315e-05,0.7149528330449274,0.22285682191490663,0.0006952581356036067,0.0002916404932692458,0.0002601906931310583,0.00013382346403563783,1.018425865991765e-05,0.2667381578135764,0.5161920909744139
DmI_A,0.000952272910773463,0.0018588142790765794,0.04763090351858656,0.00011254430786096899,0.020785407060885157,4.57946448057679e-05,2.0019850177939801e-13,0.0004728689345756236,9.52267031839569e-05,0.0007222094970547996,0.03418463900615533,0.04690274766322466,0.002394661542865648,3.5783445948480806e-05
Dm_A,0.005446770077190135,0.012711792662607689,0.1852366221995633,2.6483379362363575e-05,0.0003617051565204694,0.00024122541988424377,4.302416990957658e-14,0.00048600871526059886,0.000183257629623611,0.001135087762659548,0.1644676955627352,0.21328805316828012,0.001301866605061056,8.884269881462061e-10
Dc_A,0.002289512864417126,0.013476510990265448,0.04191968484057096,9.604048119399778e-06,1.3405575358154057e-06,2.9526455881349484e-05,0.0014044947945075362,1.1187575406573634e-13,2.4001055691264733e-05,1.448433267855092e-30,0.26955888187591226,0.1515734566183261,0.0073248054273475464,3.1678334746602354e-25
L_A,0.008929841326490178,0.1051827246526135,0.23970798187224987,0.034672825719359826,0.040736509456920963,0.02725090497041303,0.0685614498676611,0.36861807194187207,0.23603154240237392,0.5101334061950117,0.8673183010202999,1.683783935304331,0.7149994109236634,0.24719944203134583
C_B,0.15189425420349245,0.0063476438974624854,0.08294797918415796,0.032659592123941796,0.5506360427433049,0.31268502977733853,0.031001055069130798,0.28480203731493353,0.357185404210028,0.2825464860179678,0.5183557758436274,1.211634319827277,0.39601279052388144,0.17607833666516276
M_B,0.008410133575007256,0.00080241780763416,0.026435768799742923,0.06320667332937685,0.44636725261859656,0.06550918431569083,1.5976675021721093e-05,0.008028961150919778,0.006871431571199538,0.3712149338503514,0.000659229454418881,0.02169589638043764,0.0014157590821594057,1.1717501857345384e-05
I_A,0.00030804139338925737,0.0002764858527045737,0.00041907369692778323,8.14834515986248e-06,0.000840708647888285,0.27389146348655513,0.5121195283809948,0.005911235108856649,0.005018027993150033,0.03403972053978227,0.0001433113365091777,0.0022084283008248547,0.7186268904167369,0.21423814602776692
DmI_B,0.0004220077436885623,0.0001288364884446288,0.0004907783023109112,0.034957812298613285,0.04385004570009672,0.0025094876666432934,7.058073330169583e-06,0.0008887489092933452,0.0018819202711909476,0.04877984714558139,4.74932535253323e-05,0.015045021167477107,0.00010547533656413111,8.518072724591681e-12
Dm_B,0.000671995913653141,0.00018438123896349099,0.0015643713939498532,0.1645080684189438,0.20748060778298824,0.0012749576390512455,7.256703357000859e-06,0.005923000292639868,0.012125234296876225,0.18576922451870764,7.145015427443282e-05,0.000647775234910737,0.00020173890675419603,9.139186326278026e-14
Dc_B,2.5073749697119592e-12,1.997743588162798e-05,1.6097895740668947e-05,0.2681027237672201,0.15522730862128709,0.00950146710644379,2.900539661604729e-17,0.0024831648313193926,0.01373419366187812,0.04367340917391116,0.00010559500749509895,0.00021126848469112062,5.462918560217405e-10,0.0007993523254481918
